series,period,value,unit,available_at,source_url,provider
meta_family_dap,2023,3.19,billion_people,2024-02-01T21:00:00Z,https://investor.atmeta.com/investor-news/press-release-details/2024/Meta-Reports-Fourth-Quarter-and-Full-Year-2023-Results-Initiates-Quarterly-Dividend/default.aspx,Meta
meta_family_dap,2024,3.35,billion_people,2025-01-29T21:00:00Z,https://investor.atmeta.com/investor-news/press-release-details/2025/Meta-Reports-Fourth-Quarter-and-Full-Year-2024-Results/default.aspx,Meta
meta_revenue,2023,134902,USD_millions,2024-02-01T21:00:00Z,https://investor.atmeta.com/investor-news/press-release-details/2024/Meta-Reports-Fourth-Quarter-and-Full-Year-2023-Results-Initiates-Quarterly-Dividend/default.aspx,Meta
meta_revenue,2024,164501,USD_millions,2025-01-29T21:00:00Z,https://investor.atmeta.com/investor-news/press-release-details/2025/Meta-Reports-Fourth-Quarter-and-Full-Year-2024-Results/default.aspx,Meta
meta_ad_impressions_growth,2024,11,percent,2025-01-29T21:00:00Z,https://investor.atmeta.com/investor-news/press-release-details/2025/Meta-Reports-Fourth-Quarter-and-Full-Year-2024-Results/default.aspx,Meta
meta_average_price_per_ad_growth,2024,10,percent,2025-01-29T21:00:00Z,https://investor.atmeta.com/investor-news/press-release-details/2025/Meta-Reports-Fourth-Quarter-and-Full-Year-2024-Results/default.aspx,Meta
